#Sector	Layer	Component	Attenuation
1	1	1	2.020252
1	1	2	2.460066
1	1	3	2.036608
2	1	1	2.210154
2	1	2	2.004247
2	1	3	2.208275
2	1	4	2.011537
2	1	5	2.131605
2	1	6	2.045041
2	1	7	2.372462
3	1	1	1.708256
3	1	2	1.682687
3	1	3	1.784882
3	1	4	1.855884
3	1	5	1.605068
3	1	6	1.788813
4	1	1	1.713726
4	1	2	1.818260
4	1	3	1.797378
4	1	4	1.711738
4	1	5	1.455391
4	1	6	1.270447
5	1	1	2.012573
5	1	2	1.787221
1	2	1	2.455801
1	2	2	2.398960
1	2	3	2.386036
2	2	1	2.073048
2	2	2	1.973513
2	2	3	1.708125
2	2	4	2.119207
2	2	5	1.975129
2	2	6	2.105549
2	2	7	1.963843
3	2	1	1.533498
3	2	2	1.748191
3	2	3	1.643222
3	2	4	1.557450
3	2	5	1.776209
3	2	6	1.732610
4	2	1	1.761344
4	2	2	1.821044
4	2	3	1.563337
4	2	4	1.697560
4	2	5	1.715403
4	2	6	1.800329
5	2	1	1.673357
5	2	2	1.834557
1	3	1	2.457887
1	3	2	2.491773
1	3	3	2.263014
2	3	1	2.009273
2	3	2	2.100694
2	3	3	2.152012
2	3	4	2.108492
2	3	5	2.306976
2	3	6	2.072415
2	3	7	2.006933
3	3	1	1.821743
3	3	2	1.756732
3	3	3	1.823630
3	3	4	1.721127
3	3	5	1.482672
3	3	6	1.605815
4	3	1	1.725645
4	3	2	0.969473
4	3	3	1.740608
4	3	4	1.903850
4	3	5	1.930810
4	3	6	1.686457
5	3	1	1.764006
5	3	2	1.969484
1	4	1	2.465247
1	4	2	2.494401
1	4	3	2.450325
2	4	1	2.034723
2	4	2	2.276883
2	4	3	2.424426
2	4	4	1.963821
2	4	5	2.316762
2	4	6	2.008500
2	4	7	2.379072
3	4	1	0.924375
3	4	2	1.966649
3	4	3	1.770826
3	4	4	1.681568
3	4	5	1.706565
3	4	6	1.720466
4	4	1	1.840427
4	4	2	1.254289
4	4	3	1.837771
4	4	4	1.698248
4	4	5	1.712860
4	4	6	1.575740
5	4	1	2.287297
5	4	2	1.753584
1	5	1	2.311771
1	5	2	2.522060
1	5	3	2.456423
2	5	1	2.697244
2	5	2	2.195451
2	5	3	2.252383
2	5	4	2.423421
2	5	5	2.525974
2	5	6	2.436698
2	5	7	1.887047
3	5	1	1.833195
3	5	2	1.872211
3	5	3	1.906485
3	5	4	1.907001
3	5	5	1.882044
4	5	1	1.893860
4	5	2	1.953999
4	5	3	1.892393
4	5	4	1.712267
4	5	5	1.796017
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
