HV	Sector	Layer	Component	Left Mean	Left Sigma	Right Mean	Right Sigma
1	2	5	7	4172.658	579.188	2.4	2.4
1	3	5	1	4289.998	467.664	4528.923	511.652
1	3	5	2	3912.668	483.552	4848.086	584.901
1	3	5	3	10983.57	1137.6	6343.746	803.123
1	3	5	4	8284.571	957.762	4883.273	557.241
1	3	5	5	3848.435	454.438	4785.654	506.053
1	4	5	1	5000	2.4	6500	2.4
1	4	5	2	7204.462	684.301	4192.532	428.171
1	4	5	3	7103.018	786.997	7201.89	816.89
1	4	5	4	6016.272	676.514	8714.708	923.938
1	4	5	5	6914.139	733.282	4636.591	532.097
1.1	2	5	7	8154.213	1086.588	2.4	2.4
1.1	3	5	1	8423.665	896.721	8810.203	975.037
1.1	3	5	2	7678.468	911.941	9467.486	1069.273
1.1	3	5	3	21140.147	1150.481	12654.787	1349.552
1.1	3	5	4	16185.209	1351.49	9340.791	967.357
1.1	3	5	5	7660.44	824.532	9401.061	938.503
1.1	4	5	1	9175.102	807.433	11945.668	983.527
1.1	4	5	2	13988.805	1196.258	8270.94	760.256
1.1	4	5	3	13839.815	1294.749	14167.853	1247.746
1.1	4	5	4	11525.223	1157.469	16973.215	1363.8
1.1	4	5	5	13442.184	1136.841	8999.571	926.137
1.2	2	5	7	14513.156	1687.062	2.4	2.4
1.2	3	5	1	15500	2.4	15959.683	1287.786
1.2	3	5	2	13913.205	1328.638	17190.578	1361.27
1.2	3	5	3	38000	2.4	24000	2.4
1.2	3	5	4	30000	2.4	16776.179	1347.87
1.2	3	5	5	14224.217	1152.738	17466.376	1159.116
1.2	4	5	1	16000	2.4	22000	2.4
1.2	4	5	2	26000	2.4	15231.166	1142.051
1.2	4	5	3	26000	2.4	26000	2.4
1.2	4	5	4	20295.622	1351.083	32000	2.4
1.2	4	5	5	25000	2.4	16528.916	1097.741
