#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	6686.950242	764.094147
1	1	1	1	7948.841818	917.103317
1	1	2	0	10540.325592	1219.043473
1	1	2	1	13848.155739	1557.831856
1	1	3	0	12836.208956	1567.813776
1	1	3	1	8433.268402	1053.996178
2	1	1	0	7412.065201	951.806013
2	1	1	1	8005.380934	1005.183653
2	1	2	0	7852.284181	1085.945165
2	1	2	1	7549.513270	1063.083453
2	1	3	0	3661.432869	475.651370
2	1	3	1	4059.897061	511.611482
2	1	4	0	7823.869231	1046.597073
2	1	4	1	7822.907956	1081.953551
2	1	5	0	4869.087379	631.455736
2	1	5	1	5261.431017	698.579062
2	1	6	0	7453.710871	962.880741
2	1	6	1	8111.001883	1114.888962
2	1	7	0	9806.490301	1231.768018
2	1	7	1	11215.728316	1440.771690
3	1	1	0	7595.239848	744.041892
3	1	1	1	6682.968600	673.411646
3	1	2	0	7691.669819	828.680176
3	1	2	1	5789.695573	601.984591
3	1	3	0	9006.667311	943.069829
3	1	3	1	9213.610980	967.349595
3	1	4	0	7043.852869	732.963703
3	1	4	1	7009.838199	736.713107
3	1	5	0	8558.780147	956.910529
3	1	5	1	7762.037802	855.375369
3	1	6	0	6836.691396	741.618958
3	1	6	1	6811.563046	753.251090
4	1	1	0	12044.956288	1136.677145
4	1	1	1	19247.376583	1491.521371
4	1	2	0	7313.178871	716.135700
4	1	2	1	6411.138957	640.403219
4	1	3	0	7154.015003	698.239623
4	1	3	1	6417.716866	634.379205
4	1	4	0	8229.929150	804.981644
4	1	4	1	7115.813908	697.050993
4	1	5	0	8753.929786	957.152735
4	1	5	1	8562.620479	930.634946
4	1	6	0	9399.235492	984.235023
4	1	6	1	8435.583720	888.186050
5	1	1	0	10162.281693	1418.053886
5	1	1	1	8595.436756	1147.497120
5	1	2	0	9551.958632	1353.166289
5	1	2	1	7247.809164	983.679442
1	2	1	0	17450.868701	1659.628751
1	2	1	1	12775.155981	1461.357510
1	2	2	0	16130.123006	1758.887594
1	2	2	1	15396.141982	1691.593874
1	2	3	0	10393.485613	1333.433509
1	2	3	1	16021.474384	1736.534430
2	2	1	0	7301.253768	948.025871
2	2	1	1	9173.733132	1270.557056
2	2	2	0	8947.010159	1294.634615
2	2	2	1	8883.790381	1269.568476
