#Sector	Layer	Component	layer_Offset	resolution
1	1	1	-0.583199	0.299791
1	1	2	-0.583199	0.299791
1	1	3	-0.583199	0.299791
2	1	1	-0.583199	0.299791
2	1	2	-0.583199	0.299791
2	1	3	-0.583199	0.299791
2	1	4	-0.583199	0.299791
2	1	5	-0.583199	0.299791
2	1	6	-0.583199	0.299791
2	1	7	-0.583199	0.299791
3	1	1	-0.583199	0.299791
3	1	2	-0.583199	0.299791
3	1	3	-0.583199	0.299791
3	1	4	-0.583199	0.299791
3	1	5	-0.583199	0.299791
3	1	6	-0.583199	0.299791
4	1	1	-0.583199	0.299791
4	1	2	-0.583199	0.299791
4	1	3	-0.583199	0.299791
4	1	4	-0.583199	0.299791
4	1	5	-0.583199	0.299791
4	1	6	-0.583199	0.299791
5	1	1	-0.583199	0.299791
5	1	2	-0.583199	0.299791
1	2	1	0.162934	0.242204
1	2	2	0.162934	0.242204
1	2	3	0.162934	0.242204
2	2	1	0.162934	0.242204
2	2	2	0.162934	0.242204
2	2	3	0.162934	0.242204
2	2	4	0.162934	0.242204
2	2	5	0.162934	0.242204
2	2	6	0.162934	0.242204
2	2	7	0.162934	0.242204
3	2	1	0.162934	0.242204
3	2	2	0.162934	0.242204
3	2	3	0.162934	0.242204
3	2	4	0.162934	0.242204
3	2	5	0.162934	0.242204
3	2	6	0.162934	0.242204
4	2	1	0.162934	0.242204
4	2	2	0.162934	0.242204
4	2	3	0.162934	0.242204
4	2	4	0.162934	0.242204
4	2	5	0.162934	0.242204
4	2	6	0.162934	0.242204
5	2	1	0.162934	0.242204
5	2	2	0.162934	0.242204
1	3	1	0.097523	0.276372
1	3	2	0.097523	0.276372
1	3	3	0.097523	0.276372
2	3	1	0.097523	0.276372
2	3	2	0.097523	0.276372
2	3	3	0.097523	0.276372
2	3	4	0.097523	0.276372
2	3	5	0.097523	0.276372
2	3	6	0.097523	0.276372
2	3	7	0.097523	0.276372
3	3	1	0.097523	0.276372
3	3	2	0.097523	0.276372
3	3	3	0.097523	0.276372
3	3	4	0.097523	0.276372
3	3	5	0.097523	0.276372
3	3	6	0.097523	0.276372
4	3	1	0.097523	0.276372
4	3	2	0.097523	0.276372
4	3	3	0.097523	0.276372
4	3	4	0.097523	0.276372
4	3	5	0.097523	0.276372
4	3	6	0.097523	0.276372
5	3	1	0.097523	0.276372
5	3	2	0.097523	0.276372
1	4	1	0.046827	0.256481
1	4	2	0.046827	0.256481
1	4	3	0.046827	0.256481
2	4	1	0.046827	0.256481
2	4	2	0.046827	0.256481
2	4	3	0.046827	0.256481
2	4	4	0.046827	0.256481
2	4	5	0.046827	0.256481
2	4	6	0.046827	0.256481
2	4	7	0.046827	0.256481
3	4	1	0.046827	0.256481
3	4	2	0.046827	0.256481
3	4	3	0.046827	0.256481
3	4	4	0.046827	0.256481
3	4	5	0.046827	0.256481
3	4	6	0.046827	0.256481
4	4	1	0.046827	0.256481
4	4	2	0.046827	0.256481
4	4	3	0.046827	0.256481
4	4	4	0.046827	0.256481
4	4	5	0.046827	0.256481
4	4	6	0.046827	0.256481
5	4	1	0.046827	0.256481
5	4	2	0.046827	0.256481
1	5	1	0.000000	0.000000
1	5	2	0.000000	0.000000
1	5	3	0.000000	0.000000
2	5	1	0.000000	0.000000
2	5	2	0.000000	0.000000
2	5	3	0.000000	0.000000
2	5	4	0.000000	0.000000
2	5	5	0.000000	0.000000
2	5	6	0.000000	0.000000
2	5	7	0.000000	0.000000
3	5	1	0.000000	0.000000
3	5	2	0.000000	0.000000
3	5	3	0.000000	0.000000
3	5	4	0.000000	0.000000
3	5	5	0.000000	0.000000
4	5	1	0.000000	0.000000
4	5	2	0.000000	0.000000
4	5	3	0.000000	0.000000
4	5	4	0.000000	0.000000
4	5	5	0.000000	0.000000
1	6	1	0.000000	0.000000
1	6	2	0.000000	0.000000
1	6	3	0.000000	0.000000
2	6	1	0.000000	0.000000
2	6	2	0.000000	0.000000
2	6	3	0.000000	0.000000
2	6	4	0.000000	0.000000
2	6	5	0.000000	0.000000
2	6	6	0.000000	0.000000
2	6	7	0.000000	0.000000
3	6	1	0.000000	0.000000
3	6	2	0.000000	0.000000
3	6	3	0.000000	0.000000
3	6	4	0.000000	0.000000
3	6	5	0.000000	0.000000
3	6	6	0.000000	0.000000
4	6	1	0.000000	0.000000
4	6	2	0.000000	0.000000
4	6	3	0.000000	0.000000
4	6	4	0.000000	0.000000
4	6	5	0.000000	0.000000
4	6	6	0.000000	0.000000
5	6	1	0.000000	0.000000
5	6	2	0.000000	0.000000
