#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	3658.185936	459.132316
1	1	1	1	4222.046220	958.667564
1	1	2	0	5745.734586	709.118977
1	1	2	1	8121.057167	962.447015
1	1	3	0	7636.330299	917.410063
1	1	3	1	4699.783907	598.611021
2	1	1	0	4043.207994	587.798202
2	1	1	1	4258.497086	648.321837
2	1	2	0	4361.130569	640.894600
2	1	2	1	4169.200941	635.268319
2	1	3	0	1833.725782	371.840979
2	1	3	1	2024.410806	375.322131
2	1	4	0	4290.775001	589.337801
2	1	4	1	4750.000000	1222.461986
2	1	5	0	2674.318509	381.994129
2	1	5	1	2879.227970	451.410621
2	1	6	0	4078.211409	571.946934
2	1	6	1	4362.593528	1097.145578
2	1	7	0	5382.655058	685.577721
2	1	7	1	5877.859764	753.175368
3	1	1	0	23065.205951	1455.647753
3	1	1	1	20344.843207	1531.142893
3	1	2	0	21991.540184	1283.516587
3	1	2	1	16971.876731	1534.527931
3	1	3	0	25665.504721	4605.194022
3	1	3	1	26860.841623	4965.172990
3	1	4	0	20391.469356	1611.262991
3	1	4	1	20657.633102	1558.909156
3	1	5	0	16009.989835	1482.832022
3	1	5	1	14381.102085	1518.064312
3	1	6	0	21938.129365	1584.087363
3	1	6	1	21433.934162	1706.372957
4	1	1	0	34660.696173	4265.818142
4	1	1	1	35827.514555	4380.231960
4	1	2	0	21539.711602	1529.517629
4	1	2	1	19041.085925	1587.919835
4	1	3	0	21209.300197	1653.683158
4	1	3	1	20760.504499	1531.996379
4	1	4	0	15148.326790	1467.165606
4	1	4	1	13782.588322	1437.960417
4	1	5	0	15707.588259	1347.428461
4	1	5	1	15630.719797	1459.653915
4	1	6	0	27541.503781	5231.981001
4	1	6	1	25359.659633	4989.744583
5	1	1	0	5460.326121	770.575446
5	1	1	1	4650.832667	639.888561
5	1	2	0	4737.787781	731.504974
5	1	2	1	3914.930655	592.327933
1	2	1	0	9678.998402	1094.476907
1	2	1	1	7232.390711	852.206669
1	2	2	0	9487.085103	1142.574454
1	2	2	1	8123.848673	1839.632706
1	2	3	0	5391.965279	692.089093
1	2	3	1	8675.949154	1019.464660
2	2	1	0	3825.040144	537.365419
2	2	1	1	3929.216557	1343.795571
2	2	2	0	4858.362345	696.991353
2	2	2	1	4757.619216	688.007555
2	2	3	0	4131.738030	661.386622
2	2	3	1	5955.746993	957.393941
2	2	4	0	6296.263802	874.858040
2	2	4	1	5980.226425	867.676208
2	2	5	0	4552.478039	662.565672
2	2	5	1	4911.072371	689.742551
2	2	6	0	5064.152614	1203.497278
2	2	6	1	6526.313572	883.343332
