#Sector	Layer	Component	tdc_TShift	tdc_c	fadc_TShift	fadc_c

1	1	1	0.150000	13.015873	-3.000000	14.077253
1	1	2	-0.450000	13.120000	-2.800000	14.077253
1	1	3	0.300000	12.862745	-3.050000	14.137931
2	1	1	-0.950000	13.032258	0.950000	14.326241
2	1	2	-1.650000	13.202614	0.350000	14.428571
2	1	3	-0.950000	13.032258	0.450000	14.326241
2	1	4	4.700000	13.333333	-1.700000	14.175439
2	1	5	4.500000	13.074434	-1.500000	14.275618
2	1	6	4.750000	13.289474	-1.800000	14.275618
2	1	7	4.300000	13.694915	2.050000	14.428571
3	1	1	2.800000	13.600000	-0.050000	12.439024
3	1	2	2.550000	12.750000	0.650000	12.750000
3	1	3	1.300000	13.600000	-2.450000	12.750000
3	1	4	-1.200000	13.600000	0.600000	12.592593
3	1	5	-1.300000	13.246753	0.600000	12.592593
3	1	6	1.850000	13.421053	1.650000	12.750000
4	1	1	-2.700000	13.600000	-0.650000	12.750000
4	1	2	1.850000	13.421053	-0.400000	12.592593
4	1	3	1.800000	13.600000	0.700000	11.724138
4	1	4	-0.750000	13.421053	-2.150000	11.860465
4	1	5	0.750000	13.421053	-0.800000	12.289157
4	1	6	-1.950000	12.750000	0.050000	12.750000
5	1	1	-0.950000	13.466667	-0.200000	14.175439
5	1	2	0.300000	13.245902	2.000000	14.275618
1	2	1	-0.950000	13.666667	-2.800000	14.077253
1	2	2	0.800000	13.387755	-2.650000	14.017094
1	2	3	-0.700000	13.387755	-3.700000	13.957447
2	2	1	-1.950000	13.032258	-0.050000	14.532374
2	2	2	-1.450000	13.032258	0.500000	14.275618
2	2	3	-1.200000	13.245902	0.850000	14.225352
2	2	4	3.700000	13.159609	-2.600000	14.175439
2	2	5	4.700000	13.333333	-1.500000	14.275618
2	2	6	5.000000	13.511706	-1.650000	14.125874
2	2	7	2.200000	13.333333	0.100000	14.377224
3	2	1	5.050000	12.750000	0.850000	12.142857
3	2	2	4.050000	12.750000	1.700000	12.289157
3	2	3	-4.200000	13.600000	-7.550000	12.439024
3	2	4	-2.200000	13.600000	-0.550000	12.439024
3	2	5	-2.200000	13.600000	0.100000	12.592593
3	2	6	1.250000	13.076923	0.700000	12.289157
4	2	1	0.550000	12.750000	-1.100000	12.000000
4	2	2	0.550000	12.750000	-1.500000	12.289157
4	2	3	-1.650000	13.421053	-1.200000	12.000000
4	2	4	2.350000	13.421053	1.250000	12.439024
4	2	5	-1.300000	13.972603	-3.250000	13.076923
4	2	6	-1.100000	13.246753	0.750000	12.439024
5	2	1	0.800000	13.245902	0.950000	14.326241
5	2	2	0.550000	13.466667	2.600000	14.377224
1	3	1	-0.200000	13.387755	-2.800000	14.077253
1	3	2	-0.200000	13.387755	-3.200000	13.957447
1	3	3	-0.450000	13.120000	-3.200000	13.957447
2	3	1	-1.200000	13.245902	0.250000	14.326241
2	3	2	-1.950000	13.466667	0.450000	14.326241
2	3	3	-0.450000	13.466667	1.350000	14.225352
2	3	4	5.000000	13.511706	-1.350000	14.326241
2	3	5	4.550000	13.466667	-1.700000	14.175439
2	3	6	4.550000	13.466667	-2.100000	14.175439
2	3	7	3.300000	13.245902	1.200000	14.275618
3	3	1	2.550000	12.750000	-0.650000	12.142857
3	3	2	5.550000	12.750000	2.600000	12.000000
3	3	3	5.800000	13.600000	2.750000	12.439024
3	3	4	2.300000	13.600000	1.800000	12.000000
3	3	5	-1.700000	13.600000	0.450000	12.439024
3	3	6	1.550000	12.750000	-0.300000	12.289157
4	3	1	0.250000	13.076923	-0.950000	11.333333
4	3	2	2.050000	12.750000	-0.850000	12.750000
4	3	3	-0.750000	13.421053	-1.050000	12.439024
4	3	4	0.850000	13.421053	0.500000	12.289157
4	3	5	0.850000	13.421053	-0.400000	12.592593
4	3	6	-1.950000	12.750000	0.900000	12.000000
5	3	1	0.050000	13.466667	0.550000	14.428571
5	3	2	0.550000	13.466667	2.600000	14.377224
1	4	1	0.050000	13.120000	-3.150000	14.017094
1	4	2	-0.200000	13.387755	-2.700000	13.957447
1	4	3	0.300000	13.387755	-2.150000	14.017094
2	4	1	-1.700000	13.245902	0.350000	14.428571
2	4	2	-1.950000	13.466667	0.050000	14.428571
2	4	3	-1.700000	13.245902	-0.200000	14.175439
2	4	4	4.700000	13.333333	-1.300000	14.275618
2	4	5	5.250000	13.741497	-2.000000	14.275618
2	4	6	4.950000	13.557047	-1.750000	14.326241
2	4	7	2.300000	14.175439	0.500000	14.076655
3	4	1	1.800000	13.600000	-0.400000	12.592593
3	4	2	1.300000	13.600000	-1.450000	12.750000
3	4	3	2.900000	13.246753	-0.150000	12.750000
3	4	4	-4.200000	13.600000	-1.050000	11.590909
3	4	5	-1.100000	13.246753	0.300000	12.592593
3	4	6	1.800000	13.600000	1.200000	11.724138
4	4	1	1.250000	13.421053	-1.150000	12.142857
4	4	2	2.300000	13.600000	0.200000	12.289157
4	4	3	-1.200000	13.600000	-1.300000	12.289157
4	4	4	-1.700000	13.600000	-3.000000	12.289157
4	4	5	1.300000	13.600000	0.750000	12.439024
4	4	6	-0.700000	13.600000	1.100000	12.911392
5	4	1	-1.200000	13.694915	-0.400000	14.377224
5	4	2	0.550000	13.466667	2.150000	14.428571
1	5	1	-0.200000	13.387755	-2.800000	14.077253
1	5	2	-0.200000	13.387755	-3.100000	13.957447
1	5	3	0.000000	13.609959	-2.600000	13.957447
2	5	1	-1.950000	13.466667	1.100000	14.175439
2	5	2	-2.200000	13.694915	0.100000	14.377224
2	5	3	-1.450000	13.466667	0.700000	14.275618
2	5	4	4.300000	13.694915	-2.200000	14.175439
2	5	5	5.150000	13.835616	-2.000000	14.275618
2	5	6	5.250000	13.741497	-2.000000	14.275618
2	5	7	4.050000	13.931034	1.450000	14.326241
3	5	1	2.800000	13.600000	-0.350000	12.750000
3	5	2	1.800000	13.600000	-0.900000	12.592593
3	5	3	2.800000	13.600000	-0.750000	12.439024
3	5	4	0.150000	14.166667	1.600000	12.592593
3	5	5	-0.200000	13.600000	0.650000	12.750000
4	5	1	1.800000	13.600000	0.050000	12.750000
4	5	2	3.500000	14.366197	0.850000	12.142857
4	5	3	-0.200000	13.600000	-0.650000	12.142857
4	5	4	-1.200000	13.600000	-2.300000	12.289157
4	5	5	0.700000	13.246753	0.100000	12.592593
1	6	1	0.000000	Infinity	0.000000	Infinity
1	6	2	0.000000	Infinity	0.000000	Infinity
1	6	3	0.000000	Infinity	0.000000	Infinity
2	6	1	0.000000	Infinity	0.000000	Infinity
2	6	2	0.000000	Infinity	0.000000	Infinity
2	6	3	0.000000	Infinity	0.000000	Infinity
2	6	4	0.000000	Infinity	0.000000	Infinity
2	6	5	0.000000	Infinity	0.000000	Infinity
2	6	6	0.000000	Infinity	0.000000	Infinity
2	6	7	0.000000	Infinity	0.000000	Infinity
3	6	1	0.000000	Infinity	0.000000	Infinity
3	6	2	0.000000	Infinity	0.000000	Infinity
3	6	3	0.000000	Infinity	0.000000	Infinity
3	6	4	0.000000	Infinity	0.000000	Infinity
3	6	5	0.000000	Infinity	0.000000	Infinity
3	6	6	0.000000	Infinity	0.000000	Infinity
